Player,PlayerLine
JULIET,"But to be frank, and give it thee again."
JULIET,And yet I wish but for the thing I have:
JULIET,"My bounty is as boundless as the sea,"
JULIET,"My love as deep, the more I give to thee,"
JULIET,"The more I have, for both are infinite."
JULIET,Nurse calls within
JULIET,"I hear some noise within, dear love, adieu!"
JULIET,"Anon, good nurse! Sweet Montague, be true."
JULIET,"Stay but a little, I will come again."
JULIET,"Exit, above"
ROMEO,"O blessed, blessed night! I am afeard."
ROMEO,"Being in night, all this is but a dream,"
ROMEO,Too flattering-sweet to be substantial.
ROMEO,"Re-enter JULIET, above"
JULIET,"Three words, dear Romeo, and good night indeed."
JULIET,"If that thy bent of love be honourable,"
JULIET,"Thy purpose marriage, send me word to-morrow,"
JULIET,"By one that I'll procure to come to thee,"
JULIET,"Where and what time thou wilt perform the rite,"
JULIET,And all my fortunes at thy foot I'll lay
JULIET,And follow thee my lord throughout the world.
JULIET,"I come, anon.--But if thou mean'st not well,"
JULIET,I do beseech thee--
JULIET,"By and by, I come:--"
JULIET,"To cease thy suit, and leave me to my grief:"
JULIET,To-morrow will I send.
ROMEO,So thrive my soul--
JULIET,A thousand times good night!
JULIET,"Exit, above"
ROMEO,"A thousand times the worse, to want thy light."
ROMEO,"Love goes toward love, as schoolboys from"
ROMEO,"their books,"
ROMEO,"But love from love, toward school with heavy looks."
ROMEO,Retiring
ROMEO,"Re-enter JULIET, above"
JULIET,"Hist! Romeo, hist! O, for a falconer's voice,"
JULIET,To lure this tassel-gentle back again!
JULIET,"Bondage is hoarse, and may not speak aloud,"
JULIET,"Else would I tear the cave where Echo lies,"
JULIET,"And make her airy tongue more hoarse than mine,"
JULIET,With repetition of my Romeo's name.
ROMEO,It is my soul that calls upon my name:
ROMEO,"How silver-sweet sound lovers' tongues by night,"
ROMEO,Like softest music to attending ears!
JULIET,Romeo!
ROMEO,My dear?
JULIET,At what o'clock to-morrow
JULIET,Shall I send to thee?
ROMEO,At the hour of nine.
JULIET,I will not fail: 'tis twenty years till then.
JULIET,I have forgot why I did call thee back.
ROMEO,Let me stand here till thou remember it.
JULIET,"I shall forget, to have thee still stand there,"
JULIET,Remembering how I love thy company.
ROMEO,"And I'll still stay, to have thee still forget,"
ROMEO,Forgetting any other home but this.
JULIET,"'Tis almost morning, I would have thee gone:"
JULIET,"And yet no further than a wanton's bird,"
JULIET,"Who lets it hop a little from her hand,"
JULIET,"Like a poor prisoner in his twisted gyves,"
JULIET,"And with a silk thread plucks it back again,"
JULIET,So loving-jealous of his liberty.
ROMEO,I would I were thy bird.
JULIET,"Sweet, so would I:"
JULIET,Yet I should kill thee with much cherishing.
JULIET,"Good night, good night! parting is such"
JULIET,"sweet sorrow,"
JULIET,That I shall say good night till it be morrow.
JULIET,Exit above
ROMEO,"Sleep dwell upon thine eyes, peace in thy breast!"
ROMEO,"Would I were sleep and peace, so sweet to rest!"
ROMEO,"Hence will I to my ghostly father's cell,"
ROMEO,"His help to crave, and my dear hap to tell."
ROMEO,Exit
ROMEO,SCENE III. Friar Laurence's cell.
ROMEO,"Enter FRIAR LAURENCE, with a basket"
ROMEO,"Good morrow, father."
ROMEO,"That last is true, the sweeter rest was mine."
ROMEO,"With Rosaline, my ghostly father? no,"
ROMEO,"I have forgot that name, and that name's woe."
ROMEO,"I'll tell thee, ere thou ask it me again."
ROMEO,"I have been feasting with mine enemy,"
ROMEO,"Where on a sudden one hath wounded me,"
ROMEO,That's by me wounded: both our remedies
ROMEO,Within thy help and holy physic lies:
ROMEO,"I bear no hatred, blessed man, for, lo,"
ROMEO,My intercession likewise steads my foe.
ROMEO,Then plainly know my heart's dear love is set
ROMEO,On the fair daughter of rich Capulet:
ROMEO,"As mine on hers, so hers is set on mine,"
ROMEO,"And all combined, save what thou must combine"
ROMEO,By holy marriage: when and where and how
ROMEO,"We met, we woo'd and made exchange of vow,"
ROMEO,"I'll tell thee as we pass, but this I pray,"
ROMEO,That thou consent to marry us to-day.
ROMEO,Thou chid'st me oft for loving Rosaline.
ROMEO,And bad'st me bury love.
ROMEO,"I pray thee, chide not, she whom I love now"
ROMEO,"Doth grace for grace and love for love allow,"
ROMEO,The other did not so.
ROMEO,"O, let us hence, I stand on sudden haste."
ROMEO,Good morrow to you both. What counterfeit did I give you?
ROMEO,"Pardon, good Mercutio, my business was great, and in"
ROMEO,such a case as mine a man may strain courtesy.
ROMEO,"Meaning, to court'sy."
ROMEO,A most courteous exposition.
ROMEO,Pink for flower.
ROMEO,"Why, then is my pump well flowered."
ROMEO,"O single-soled jest, solely singular for the"
ROMEO,singleness.
ROMEO,"Switch and spurs, switch and spurs, or I'll cry a match."
ROMEO,Thou wast never with me for any thing when thou wast
ROMEO,not there for the goose.
ROMEO,"Nay, good goose, bite not."
ROMEO,And is it not well served in to a sweet goose?
ROMEO,"I stretch it out for that word 'broad,' which added"
ROMEO,"to the goose, proves thee far and wide a broad goose."
ROMEO,Here's goodly gear!
ROMEO,Enter Nurse and PETER
ROMEO,"One, gentlewoman, that God hath made for himself to"
ROMEO,mar.
ROMEO,"I can tell you, but young Romeo will be older when"
ROMEO,you have found him than he was when you sought him:
ROMEO,"I am the youngest of that name, for fault of a worse."
ROMEO,What hast thou found?
ROMEO,I will follow you.
ROMEO,"A gentleman, nurse, that loves to hear himself talk,"
ROMEO,and will speak more in a minute than he will stand
ROMEO,to in a month.
ROMEO,"Nurse, commend me to thy lady and mistress. I"
ROMEO,protest unto thee--
ROMEO,"What wilt thou tell her, nurse? thou dost not mark me."
ROMEO,Bid her devise
ROMEO,"Some means to come to shrift this afternoon,"
ROMEO,And there she shall at Friar Laurence' cell
ROMEO,Be shrived and married. Here is for thy pains.
ROMEO,"Go to, I say you shall."
ROMEO,"And stay, good nurse, behind the abbey wall:"
ROMEO,Within this hour my man shall be with thee
ROMEO,"And bring thee cords made like a tackled stair,"
ROMEO,Which to the high top-gallant of my joy
ROMEO,Must be my convoy in the secret night.
ROMEO,"Farewell, be trusty, and I'll quit thy pains:"
ROMEO,"Farewell, commend me to thy mistress."
ROMEO,"What say'st thou, my dear nurse?"
ROMEO,"I warrant thee, my man's as true as steel."
ROMEO,"Ay, nurse, what of that? both with an R."
ROMEO,Commend me to thy lady.
JULIET,"The clock struck nine when I did send the nurse,"
JULIET,In half an hour she promised to return.
JULIET,Perchance she cannot meet him: that's not so.
JULIET,"O, she is lame! love's heralds should be thoughts,"
JULIET,"Which ten times faster glide than the sun's beams,"
JULIET,Driving back shadows over louring hills:
JULIET,"Therefore do nimble-pinion'd doves draw love,"
JULIET,And therefore hath the wind-swift Cupid wings.
JULIET,Now is the sun upon the highmost hill
JULIET,"Of this day's journey, and from nine till twelve"
JULIET,"Is three long hours, yet she is not come."
JULIET,"Had she affections and warm youthful blood,"
JULIET,"She would be as swift in motion as a ball,"
JULIET,"My words would bandy her to my sweet love,"
JULIET,And his to me:
JULIET,"But old folks, many feign as they were dead,"
JULIET,"Unwieldy, slow, heavy and pale as lead."
JULIET,"O God, she comes!"
JULIET,Enter Nurse and PETER
JULIET,"O honey nurse, what news?"
JULIET,Hast thou met with him? Send thy man away.
JULIET,"Now, good sweet nurse,--O Lord, why look'st thou sad?"
JULIET,"Though news be sad, yet tell them merrily,"
JULIET,"If good, thou shamest the music of sweet news"
JULIET,By playing it to me with so sour a face.
JULIET,"I would thou hadst my bones, and I thy news:"
JULIET,"Nay, come, I pray thee, speak, good, good nurse, speak."
JULIET,"How art thou out of breath, when thou hast breath"
